path,meta_description,open_graph,twitter_cards,canonical_link
about.html,True,False,False,False
analytics.html,True,False,False,False
api-test.html,False,False,False,False
athlete-landing.html,True,False,False,False
athlete-dashboard.html,False,False,False,False
app.html,False,False,False,False
basketball-recruiting.html,False,False,False,False
blaze-advanced-analytics.html,False,False,False,False
blaze-executive-platform.html,False,False,False,False
blaze-championship-live.html,False,False,False,False
blaze-intelligence-enhanced.html,False,False,False,False
basketball.html,False,False,False,False
blaze-physics-game.html,False,False,False,False
blaze-realtime-analytics.html,False,False,False,False
blaze-ranch-production.html,False,False,False,False
blog-cfb-week2-2025.html,True,False,False,False
blog-index.html,True,False,False,False
cardinals.html,False,False,False,False
championship-3d-universe.html,True,False,False,False
coach.html,False,False,False,False
championship-ai-analytics.html,True,False,False,False
command-center.html,False,False,False,False
compare.html,False,False,False,False
contact.html,True,False,False,False
contact-simple.html,False,False,False,False
college.html,False,False,False,False
demo.html,False,False,False,False
digital-combine.html,False,False,False,False
executive-intelligence.html,True,False,False,False
docs.html,False,False,False,False
football-recruiting.html,False,False,False,False
football.html,False,False,False,False
features.html,False,False,False,False
index-championship-ultimate.html,True,False,False,False
high-school.html,False,False,False,False
get-started.html,True,False,False,False
index-enhanced.html,True,False,False,False
index-new.html,True,True,False,False
index.html,False,False,False,False
insights.html,True,False,False,False
integration-hub.html,False,False,False,False
integrations.html,False,False,False,False
investor-narrative.html,True,True,True,True
live-analytics.html,True,False,False,False
live-intelligence.html,True,False,False,False
live.html,False,False,False,False
live-demo.html,False,False,False,False
login.html,False,False,False,False
lone-star-legends.html,True,False,False,False
manifesto.html,True,True,True,True
methods.html,True,True,True,True
metrics.html,False,False,False,False
mobile-app.html,False,False,False,False
monitoring-dashboard.html,False,False,False,False
neural-coach.html,False,False,False,False
pilot-playbook.html,True,True,True,True
nil.html,True,False,False,False
pressure-terminal.html,False,False,False,False
pricing-comparison.html,False,False,False,False
pressure-dashboard.html,False,False,False,False
pricing.html,False,False,False,False
pricing-simple.html,False,False,False,False
professional.html,False,False,False,False
proof.html,False,False,False,False
rankings.html,True,True,False,True
recruiting.html,True,True,True,True
replit-sportsdataio-deployment.html,False,False,False,False
privacy.html,True,False,False,False
roi-calculator.html,False,False,False,False
security.html,False,False,False,False
signup.html,False,False,False,False
simple-landing.html,False,False,False,False
solutions.html,False,False,False,False
sports.html,False,False,False,False
sportsdataio-championship.html,False,False,False,False
terms.html,True,False,False,False
testimonials.html,False,False,False,False
universe.html,False,False,False,False
trial.html,False,False,False,False
why-we-win.html,False,False,False,False
youth-sports.html,False,False,False,False
austin-portfolio-deploy/about.html,False,False,False,False
austin-portfolio-deploy/advanced-analytics-dashboard.html,False,False,False,False
austin-portfolio-deploy/analytics.html,True,False,False,False
austin-portfolio-deploy/api-docs.html,False,False,False,False
austin-portfolio-deploy/blaze-3d-sportsdataio.html,False,False,False,False
austin-portfolio-deploy/blog.html,False,False,False,False
austin-portfolio-deploy/auth-portal.html,True,False,False,False
austin-portfolio-deploy/cardinals-intelligence-dashboard.html,True,False,False,False
austin-portfolio-deploy/championship-ai-analytics.html,False,False,False,False
austin-portfolio-deploy/careers.html,False,False,False,False
austin-portfolio-deploy/character-assessment.html,False,False,False,False
austin-portfolio-deploy/character-assessment-enhanced.html,True,False,False,False
austin-portfolio-deploy/contact.html,True,False,False,False
austin-portfolio-deploy/deep-south-sports-authority.html,True,False,False,False
austin-portfolio-deploy/data-enhanced.html,True,False,False,True
austin-portfolio-deploy/demo.html,True,False,False,False
austin-portfolio-deploy/deployment-status.html,False,False,False,False
austin-portfolio-deploy/digital-combine.html,False,False,False,False
austin-portfolio-deploy/enterprise-billing-dashboard.html,False,False,False,False
austin-portfolio-deploy/enterprise-b2b-portal.html,False,False,False,False
austin-portfolio-deploy/executive-intelligence-center.html,True,False,False,False
austin-portfolio-deploy/enhanced-index.html,True,False,False,False
austin-portfolio-deploy/developer-portal.html,False,False,False,False
austin-portfolio-deploy/grizzlies-nba-dashboard.html,False,False,False,False
austin-portfolio-deploy/hawkeye-demo.html,True,False,False,False
austin-portfolio-deploy/hawkeye-innovations-dashboard.html,True,False,False,False
austin-portfolio-deploy/index-blaze-ultimate.html,True,False,False,False
austin-portfolio-deploy/index.html,True,False,False,False
austin-portfolio-deploy/login.html,True,False,False,False
austin-portfolio-deploy/nil-calculator-advanced.html,True,False,False,False
austin-portfolio-deploy/perfect-game-enhanced.html,False,False,False,False
austin-portfolio-deploy/perfect-game-dashboard-2025.html,False,False,False,False
austin-portfolio-deploy/pricing.html,True,False,False,False
austin-portfolio-deploy/performance-monitor.html,True,False,False,False
austin-portfolio-deploy/platform-demo.html,False,False,False,False
austin-portfolio-deploy/privacy.html,False,False,False,False
austin-portfolio-deploy/realtime-multimodal-dashboard.html,False,False,False,False
austin-portfolio-deploy/realtime-multimodal-dashboard-enhanced.html,True,False,False,False
austin-portfolio-deploy/roi-calculator.html,True,False,False,False
austin-portfolio-deploy/sec-football-enhanced.html,False,False,False,False
austin-portfolio-deploy/signup.html,True,False,False,False
austin-portfolio-deploy/sec-nil-analytics.html,True,False,False,False
austin-portfolio-deploy/sportsdataio-championship-dashboard.html,True,False,False,False
austin-portfolio-deploy/sports-intelligence-dashboard.html,False,False,False,False
austin-portfolio-deploy/sportsdataio-2025-live-dashboard.html,False,False,False,False
austin-portfolio-deploy/sportsdataio-live.html,False,False,False,False
austin-portfolio-deploy/sportsdataio-2024-championship.html,False,False,False,False
austin-portfolio-deploy/sportsdataio-test.html,False,False,False,False
austin-portfolio-deploy/test-platform.html,False,False,False,False
austin-portfolio-deploy/terms.html,False,False,False,False
austin-portfolio-deploy/video-intelligence-upload.html,False,False,False,False
austin-portfolio-deploy/3d/visualization.html,False,False,False,False
austin-portfolio-deploy/dashboard/unified.html,False,False,False,False
austin-portfolio-deploy/executive/dashboard.html,False,False,False,False
austin-portfolio-deploy/executive/index.html,True,False,False,False
austin-portfolio-deploy/executive/analytics.html,False,False,False,False
austin-portfolio-deploy/executive/reports.html,False,False,False,False
api/index.html,False,False,False,False
blaze-intelligence-os-v2/index.html,True,True,False,False
blaze-vision-ai/apps/coach-ui/index.html,True,False,False,False
cardinals/index.html,False,False,False,False
reports/monthly_nil_3_20250824.html,False,False,False,False
reports/weekly_performance_1_20250824.html,False,False,False,False
reports/weekly_performance_2_20250824.html,False,False,False,False
site/pages/dashboards/blaze-unified-analytics.html,True,False,False,False
site/pages/dashboards/blaze-enhanced-dashboard.html,False,False,False,False
site/pages/dashboards/blaze-enterprise-dashboard.html,False,False,False,False
site/pages/mobile/blaze-intelligence-enhanced-apex-mobile-complete.html,True,False,False,False
site/pages/mobile/blaze-intelligence-apex-championship-mobile.html,True,False,False,False
site/pages/mobile/blaze-intelligence-unified-championship-mobile.html,True,False,False,False
site/pages/mobile/blaze-intelligence-unified-mobile-app.html,False,False,False,False
site/pages/mobile/blaze-mobile-app-prototype.html,True,False,False,False
site/pages/mobile/blaze-intelligence-mobile-platform-complete.html,False,False,False,False
site/pages/platforms/blaze-api-docs.html,False,False,False,False
site/pages/platforms/blaze-ar-neural-coach.html,True,False,False,False
site/pages/platforms/blaze-client-portal.html,False,False,False,False
site/pages/platforms/blaze-unified-index.html,True,True,True,True
site/pages/platforms/blaze-intelligence-ultimate-platform.html,True,False,False,False
site/pages/platforms/blaze-vision-coaching-interface.html,False,False,False,False
site/pages/platforms/blaze-neural-coach.html,True,False,False,False
site/pages/platforms/blaze-portfolio-showcase-enhanced.html,True,False,False,False
site/pages/platforms/blaze-command-center.html,False,False,False,False
site/pages/platforms/blaze-visual-examples.html,False,False,False,False
